Invoice_ID,Sale_Date,Year,Month,Company,Car_Model,Engine_CC,Fuel_Type,Horsepower_HP,Top_Speed_KMH,Seats,City,Salesperson,Quantity,Unit_Price_INR,GST_Percent,GST_Amount_INR,Total_Amount_INR
INV10001,03-01-2024,2024,January,BMW,X5,2998,Petrol,335,243,5,Mumbai,Riya,1,9523158,28,2666484.24,12189642.24
INV10002,03-01-2024,2024,January,Mahindra,Thar,2184,Diesel,130,155,4,Ahmedabad,Priya,2,1516663,28,849331.28,3882657.28
INV10003,04-01-2024,2024,January,BMW,X5,2998,Petrol,335,243,5,Bangalore,Riya,1,9744254,28,2728391.12,12472645.12
INV10004,05-01-2024,2024,January,BMW,X5,2998,Petrol,335,243,5,Pune,Amit,2,9758944,28,5465008.64,24982896.64
INV10005,05-01-2024,2024,January,BMW,X5,2998,Petrol,335,243,5,Pune,Rahul,2,9628389,28,5391897.84,24648675.84
INV10006,05-01-2024,2024,January,BMW,X5,2998,Petrol,335,243,5,Mumbai,Arjun,2,9503587,28,5322008.72,24329182.72
INV10007,06-01-2024,2024,January,Mercedes,C-Class,1999,Petrol,255,250,5,Pune,Amit,2,6266526,28,3509254.56,16042306.56
INV10008,06-01-2024,2024,January,Toyota,Fortuner,2755,Diesel,201,190,7,Mumbai,Riya,1,4248461,28,1189569.08,5438030.08
INV10009,07-01-2024,2024,January,Mercedes,C-Class,1999,Petrol,255,250,5,Mumbai,Amit,1,6319398,28,1769431.44,8088829.44
INV10010,07-01-2024,2024,January,BMW,X5,2998,Petrol,335,243,5,Bangalore,Priya,2,9491833,28,5315426.48,24299092.48
INV10011,07-01-2024,2024,January,Toyota,Fortuner,2755,Diesel,201,190,7,Hyderabad,Rahul,2,4287717,28,2401121.52,10976555.52
INV10012,07-01-2024,2024,January,Mercedes,C-Class,1999,Petrol,255,250,5,Pune,Priya,2,6059842,28,3393511.52,15513195.52
INV10013,08-01-2024,2024,January,BMW,X5,2998,Petrol,335,243,5,Chennai,Vikas,1,9692357,28,2713859.96,12406216.96
INV10014,09-01-2024,2024,January,Mercedes,C-Class,1999,Petrol,255,250,5,Ahmedabad,Neha,1,6070087,28,1699624.36,7769711.36
INV10015,10-01-2024,2024,January,Mercedes,C-Class,1999,Petrol,255,250,5,Hyderabad,Sneha,1,6060615,28,1696972.2,7757587.2
INV10016,10-01-2024,2024,January,Toyota,Fortuner,2755,Diesel,201,190,7,Surat,Rahul,2,4387039,28,2456741.84,11230819.84
INV10017,10-01-2024,2024,January,Mercedes,C-Class,1999,Petrol,255,250,5,Pune,Mehul,1,6079303,28,1702204.84,7781507.84
INV10018,11-01-2024,2024,January,Toyota,Fortuner,2755,Diesel,201,190,7,Delhi,Riya,2,4164987,28,2332392.72,10662366.72
INV10019,11-01-2024,2024,January,Toyota,Fortuner,2755,Diesel,201,190,7,Ahmedabad,Priya,1,4446247,28,1244949.16,5691196.16
INV10020,11-01-2024,2024,January,BMW,X5,2998,Petrol,335,243,5,Chennai,Mehul,1,9806768,28,2745895.04,12552663.04
INV10021,13-01-2024,2024,January,Toyota,Fortuner,2755,Diesel,201,190,7,Pune,Riya,2,4327408,28,2423348.48,11078164.48
